Genus,Species,Common Name
 Chioglossa,lusitanica ,golden striped salamander
 Cynops,chenggongensis ,Chenggong fire-bellied newt
 Cynops,cyanurus ,blue-tailed fire-bellied newt
 Cynops,ensicauda ,sword-tailed newt
 Cynops,fudingensis ,Fuding fire-bellied newt
 Cynops,glaucus ,"bluish grey newt, Huilan Rongyuan"
 Cynops,orientalis ,"Oriental fire belly newt, Oriental fire-bellied newt"
 Cynops,orphicus ,no common name
 Cynops,pyrrhogaster ,"Japanese newt, Japanese fire-bellied newt"
 Cynops,wolterstorffi ,Kunming Lake newt
 Euproctus,montanus ,Corsican brook salamander
 Euproctus,platycephalus ,Sardinian brook salamander
 Hydromantes,ambrosii ,Ambrosi salamander
 Hydromantes,brunus ,limestone salamander
 Hydromantes,flavus ,Mount Albo cave salamander
 Hydromantes,genei ,Sardinian cave salamander
 Hydromantes,imperialis ,imperial cave salamander
 Hydromantes,italicus ,Italian cave salamander
 Hydromantes,platycephalus ,Mount Lyell salamander
 Hydromantes,sarrabusensis ,no common name
 Hydromantes,shastae ,Shasta salamander
 Hydromantes,strinatii,"French cave salamander, Strinati’s cave salamander"
 Hydromantes,supramontis ,Supramonte cave salamander
 Hynobius,abei ,Abe’s salamander
 Hynobius,amakusaensis ,Amakusa-sanshouo
 Hynobius,amjiensis ,Anji salamander
 Hynobius,arisanensis ,Arisan hynobid
 Hynobius,boulengeri ,Odaigahara salamander
 Hynobius,chinensis ,Chinese salamander
 Hynobius,dunni ,Oita salamander
 Hynobius,formosanus ,Taiwan salamander
 Hynobius,fucus,Taiwan lesser salamander
 Hynobius,glacialis ,Nanhu salamander
 Hynobius,guabangshanensis ,no common name
 Hynobius,hidamontanus ,Hakuba salamander
 Hynobius,hirosei ,no common name
 Hynobius,katoi ,Akaishi sansho-uo
 Hynobius,kimurae ,Hida salamander
 Hynobius,leechii ,northeastern China hynobiid salamander
 Hynobius,lichenatus ,northeast salamander
 Hynobius,maoershanensis ,no common name
 Hynobius,naevius ,blotched salamander
 Hynobius,nebulosus ,misty salamander
 Hynobius,nigrescens ,black salamander
 Hynobius,okiensis ,Oki salamander
 Hynobius,osumiensis ,Osumi-sanshouo
 Hynobius,quelpaertensis ,no common name
 Hynobius,retardatus ,Hokkaido salamander
 Hynobius,shinichisatoi ,Sobo-sanshouo
 Hynobius,sonani ,Sonan’s hynobiid
 Hynobius,stejnegeri ,Bekko Sansho-uo
 Hynobius,takedai ,Hokuriku Sansho-uo
 Hynobius,tokyoensis ,Tokyo salamander
 Hynobius,tsuensis ,Tsushima Sansho-uo
 Hynobius,turkestanicus ,Turkestanian salamander
 Hynobius,yangi ,no common name
 Hynobius,yatsui ,no common name
 Hynobius,yiwuensis ,Yiwu hynobiid
 Ichthyosaura,alpestris ,alpine newt
 Lissotriton,boscai ,Bosca’s newt
 Lissotriton,helveticus ,palmate newt
 Lissotriton,italicus ,Italian newt
 Lissotriton,kosswigi ,Triton pontue de Kosswig
 Lissotriton,lantzi ,no common name
 Lissotriton,montandoni ,Carpathian newt
 Lissotriton,vulgaris ,smooth newt
 Neurergus,crocatus ,no common name
 Neurergus,derjugini,Kurdistan newt
 Neurergus,kaiseri ,"Lorestan newt, Luristan newt, emperor spotted newt, Zagros newt, Iranian harlequin newt, kaiser newt"
 Neurergus,strauchii ,no common name
 Notophthalmus,meridionalis ,black-spotted newt
 Notophthalmus,perstriatus ,striped newt
 Notophthalmus,viridescens ,eastern newt
 Onychodactylus,fischeri ,long-tailed clawed salamander
 Onychodactylus,fuscus ,Tadami clawed salamander
 Onychodactylus,intermedius ,Bandai clawed salamander
 Onychodactylus,japonicus ,Japanese clawed salamander
 Onychodactylus,kinneburi ,Shikoku clawed salamander
 Onychodactylus,koreanus ,Korai-Sansyouo
 Onychodactylus,nipponoborealis ,Riben Bei Zhaoni
 Onychodactylus,tsukubaensis ,Tsukuba clawed salamander
 Onychodactylus,zhangyapingi ,Jilin Zhaoni
 Onychodactylus,zhaoermii ,Liaoning
 Paramesotriton,caudopunctatus ,spot-tailed warty newt
 Paramesotriton,chinensis ,Chinese warty newt
 Paramesotriton,deloustali ,no common name
 Paramesotriton,fuzhongensis ,no common name
 Paramesotriton,guangxiensis ,Guangxi warty newt
 Paramesotriton,hongkongensis ,no common name
 Paramesotriton,labiatus ,spotless stout newt
 Paramesotriton,longliensis ,no common name
 Paramesotriton,maolanensis ,no common name
 Paramesotriton,qixilingensis ,no common name
 Paramesotriton,wulingensis ,no common name
 Paramesotriton,yunwuensis ,no common name
 Paramesotriton,zhijinensis ,no common name
 Plethodon,ainsworthi ,"Catahoula salamander, bay springs salamander"
 Plethodon,albagula ,western slimy salamander
 Plethodon,amplus ,Blue Ridge gray-cheeked salamander
 Plethodon,angusticlavius ,"Ozark salamander, Ozark zigzag salamander"
 Plethodon,asupak ,Scott Bar salamander
 Plethodon,aureolus ,Tellico salamander
 Plethodon,caddoensis ,Caddo Mountain salamander
 Plethodon,chattahoochee ,Chattahoochee slimy salamander
 Plethodon,cheoah ,Cheoah bald salamander
 Plethodon,chlorobryonis ,Atlantic Coast slimy salamander
 Plethodon,cinereus ,"eastern red-backed salamander, redback salamander, salamandre rayée, red-backed salamander"
 Plethodon,cylindraceus ,white-spotted slimy salamander
 Plethodon,dorsalis ,"zigzag salamander, northern zigzag salamander"
 Plethodon,dunni ,Dunn’s salamander
 Plethodon,electromorphus ,northern ravine salamander
 Plethodon,elongatus ,Del Norte salamander
 Plethodon,fourchensis ,Fourche Mountain salamander
 Plethodon,glutinosus ,"slimy salamander, northern slimy salamander"
 Plethodon,grobmani ,southeastern slimy salamander
 Plethodon,hoffmani ,valley and ridge salamander
 Plethodon,hubrichti ,Peaks of Otter salamander
 Plethodon,idahoensis ,Coeur d’Alene salamander
 Plethodon,jordani ,"Appalachian salamander, red-cheeked salamander, Jordan's salamander"
 Plethodon,kentucki ,"Kentucky salamander, Cumberland Plateau salamander"
 Plethodon,kiamichi ,Kiamichi slimy salamander
 Plethodon,kisatchie ,Louisiana slimy salamander
 Plethodon,larselli ,Larch Mountain salamander
 Plethodon,meridianus ,"South Mountain gray-cheeked salamander, southern gray-cheeked salamander"
 Plethodon,metcalfi ,southern gray-cheeked salamander
 Plethodon,mississippi ,Mississippi slimy salamander
 Plethodon,montanus ,northern gray-cheeked salamander
 Plethodon,neomexicanus ,Jemez Mountains salamander
 Plethodon,nettingi ,Cheat Mountain salamander
 Plethodon,ocmulgee ,Ocmulgee slimy salamander
 Plethodon,ouachitae ,Rich Mountain salamander
 Plethodon,petraeus ,Pigeon Mountain salamander
 Plethodon,punctatus ,"white-spotted salamander, cow knob salamander"
 Plethodon,richmondi ,"southern ravine salamander, ravine salamander"
 Plethodon,savannah ,Savannah slimy salamander
 Plethodon,sequoyah ,Sequoyah slimy salamander
 Plethodon,serratus ,southern red-backed salamander
 Plethodon,shenandoah ,Shenandoah salamander
 Plethodon,sherando ,Big Levels salamander
 Plethodon,shermani ,red-legged salamander
 Plethodon,stormi ,Siskiyou Mountains salamander
 Plethodon,teyahalee ,Southern Appalachian salamander
 Plethodon,vandykei ,Van Dyke’s salamander
 Plethodon,variolatus ,South Carolina slimy salamander
 Plethodon,vehiculum ,western red-backed salamander
 Plethodon,ventralis ,southern zigzag salamander
 Plethodon,virginia ,Shenandoah Mountain salamander
 Plethodon,websteri ,Webster’s salamander
 Plethodon,wehrlei ,Wehrle’s salamander
 Plethodon,welleri ,Weller’s salamander
 Plethodon,yonahlossee ,Yonahlossee salamander
 Pleurodeles,nebulosus ,no common name
 Pleurodeles,poireti ,Algerian newt
 Pleurodeles,waltl ,Spanish newt
 Salamandra,algira ,Algerian salamander
 Salamandra,atra ,alpine salamander
 Salamandra,corsica ,Corsican fire salamander
 Salamandra,infraimmaculata ,no common name
 Salamandra,lanzai ,"Lanza’s alpine salamander, Salamandra di Lanza"
 Salamandra,salamandra ,fire salamander
 Salamandrella,keyserlingii ,Siberian newt
 Salamandrella,tridactyla ,no common name
 Salamandrina,perspicillata ,northern spectacled salamander
 Salamandrina,terdigitata ,southern spectacled salamander
 Siren,intermedia ,lesser siren
 Siren,lacertina ,greater siren
 Taricha,granulosa ,rough-skinned newt
 Taricha,rivularis ,red-bellied newt
 Taricha,sierrae ,Sierra newt
 Taricha,torosa ,California newt
 Triturus,carnifex ,Italian crested newt
 Triturus,cristatus ,great crested newt
 Triturus,dobrogicus ,Danube crested newt
 Triturus,hongkongensis ,no common name
 Triturus,ivanbureschi ,"Balkan-Anatolian crested newt, Buresch’s crested newt"
 Triturus,karelinii ,Southern crested newt
 Triturus,macedonicus ,no common name
 Triturus,marmoratus ,marbled newt
 Triturus,pygmaeus ,pygmy marbled newt
 Triturus,vittatus ,no common name
 Tylototriton,anguliceps ,angular-headed newt
 Tylototriton,asperrimus ,black knobby newt
 Tylototriton,broadoridgus ,no common name
 Tylototriton,dabienicus ,no common name
 Tylototriton,daweishanensis ,no common name
 Tylototriton,hainanensis ,Hainan knobby newt
 Tylototriton,kweichowensis ,red-tailed knobby newt
 Tylototriton,liuyangensis ,no common name
 Tylototriton,lizhengchangi ,Mangshan crocodile newt
 Tylototriton,notialis ,no common name
 Tylototriton,panhai ,no common name
 Tylototriton,pseudoverrucosus ,southern Sichuan crocodile newt
 Tylototriton,shanjing ,Yunnan newt
 Tylototriton,shanorum ,no common name
 Tylototriton,taliangensis ,Thailand newt
 Tylototriton,uyenoi ,no common name
 Tylototriton,verrucosus ,Himalayan newt
 Tylototriton,vietnamensis ,no common name
 Tylototriton,wenxianensis ,Wenxian knobby newt
 Tylototriton,yangi ,Tiannan crocodile newt
 Tylototriton,ziegleri ,Ziegler’s crocodile newt